,question,reponse
0,Quels sont les forfaits vacances disponibles ?,"Nos forfaits vacances répondent à tous vos besoins. Vous pouvez choisir votre forfait de façon à inclure l'un des services suivants :billets d'entrée aux Parcs Disneyséjour dans un hôtel Disney ou un hôtel partenairetransfert vers et depuis Disneylandcoupons repasen option : location d'un véhicule, repas avec les personnages Disney ou billets pour des spectacles et performances Disney (avec supplément)."
1,Comment supprimer les cookies Flash ?,"Voici comment modifier les paramètres Flash. Souvenez-vous que si vous désactivez des cookies Flash, vous n'aurez pas accès à de nombreuses fonctions qui rendent votre expérience plus efficace et certains de nos services ne fonctionneront pas correctement."
2,Quels types de restaurants trouve t-on dans les Parcs Disney ?,"Disneyland Paris dispose de plus de 65 restaurants et bars aux spécialités et tarifs divers. Vous pouvez découvrir tout un monde de délices culinaires, des snacks aux stands jusqu'aux dîners gourmets. Pour les gourmands, des buffets Tex-Mex et des barbecues vous sont proposés dans des cadres à thème. Vous pouvez également vous restaurer dans des chaînes internationales comme McDonalds et Starbucks. Vous pouvez même partager un repas avec des personnages Disney : réservez-le dès aujourd'hui !En savoir plus sur nos menus enfants et nos solutions pour les personnes ayant des besoins alimentaires particuliers"
3,Quels concerts y a-t-il actuellement au Disney Village ?,"Découvrez les superbes concerts qui se dérouleront bientôt au Disney Village. Il s'y passe toujours quelque chose de spécial, qu'il s'agisse d'événements irlandais pour la St Patrick ou de prestations des meilleurs musiciens de blues européens."
4,Comment connaître la disponibilité des chambres avant de finaliser ma réservation ?,"Vous pouvez consulter la disponibilité des chambres d'hôtel en temps réel grâce à notre service de réservation en ligne. Utilisez-le pour sélectionner vos dates de vacances, votre forfait, votre hôtel et le nombre de visiteurs. Cela vous permettra de connaître les disponibilités de cet hôtel à ce moment-là. Vous pourrez ensuite finaliser votre réservation ou lancer une nouvelle recherche."
5,Est-il possible de réserver une chambre d'hôtel sans billets d'accès au parc ?,"Oui, il est possible de réserver une nuit dans un Hôtel Disney sans billets.Contactez nos Conseillers Disney au  0 825 300 500 (Service 0,15 €/min + prix appel)."
6,"L’utilisation de perches télescopiques, utilisées notamment pour les selfies, est-elle autorisée dans les Parcs à Thèmes de Disneyland Paris ?","Non. Selon une règle de Walt Disney Parks and Resorts, l’utilisation de perches télescopiques pour appareils photos ou téléphones portables, utilisées notamment pour les selfies, est interdite dans les Parcs à Thèmes. Il est demandé aux Visiteurs de laisser les perches télescopiques dans leur voiture ou leur chambre d’hôtel à leur arrivée, ou de les ranger en consigne gratuite à Guest Storage, disponible à l’entrée des deux Parcs."
7,"J'ai déjà effectué ma réservation, Disneyland Paris ajustera-t-il mon tarif ?","Non. Disneyland Paris n'ajustera pas votre tarif si vous avez déjà effectué votre réservation, sauf si vous souhaitez modifier votre réservation."
8,Puis-je fumer dans les Parcs Disney ?,"Les espaces couverts et non couverts des Parcs à Thèmes sont non-fumeurs, des espaces extérieurs ont été spécialement aménagés à l'attention de nos visiteurs fumeurs. Ce règlement s'applique également aux cigarettes électroniques."
9,Quel est le meilleur moment pour visiter Disneyland Paris ?,"Avec ses attractions, spectacles et parades magiques ouverts toute l'année, c'est toujours le bon moment de visiter Disneyland Paris. Mais voici quelques conseils pour profiter au mieux de votre séjour.Si vous souhaitez visiter les Parcs quand il y a peu de visiteurs, planifiez un séjour commençant et se terminant en milieu de semaine (de mardi à jeudi) à partir de mi-janvier jusqu'à mi-mars ou entre mi-avril et mi-mai. L'avantage d'une visite planifiée quand le nombre de visiteurs est faible est que les temps d'attente sont plus courts. Cependant, il est possible que peu de spectacles et événements soient programmés au cours de ces périodes.Si vous souhaitez séjourner aux Parcs Disney quand les heures d'ouverture sont étendues et davantage de spectacles sont disponibles, planifiez votre visite le week-end ou un long week-end, pendant l'été ou au moment des événements de saison spéciaux. Au cours de ces périodes, il y a beaucoup plus de visiteurs dans les Parcs DisneyConsultez les événements de saison.Découvrez les heures d'ouverture des Parcs Disney.Recherchez des billets et réservez votre aventure Disney."
10,En quoi consistent les parades et spectacles saisonniers Disneyland Paris ?,"Vous pouvez consulter les spectacles et parades de saison à venir en ligne. Il se passe toujours quelque chose de palpitant, des apparitions d'Halloween à la magie de Noël. Ne manquez rien, réservez dès maintenant !"
11,Les jours de restrictions s’appliquent-t-ils si l’on séjourne dans un hôtel Disney ?,"Il n’y a pas de restrictions lorsque l’on séjourne dans un hôtel Disney. Sauf en cas d’achat d’un Pass Annuel Discovery, il n’est pas possible d’accéder aux Parcs les 2ème et 3ème jours suivant la production du PA définitif (même en cas de séjour dans un Hôtel Disney)."
12,Quelles sont les mesures de sécurité mises en place à Disneyland Paris ?,"Rien n’a plus d’importance que la sécurité de nos visiteurs et de nos employés. Nous travaillons en étroite collaboration avec les autorités compétentes et les forces de l’ordre, et ce depuis longtemps. Les mesures de sécurité sur le site ont été renforcées. Certaines de nos mesures sont visibles pour nos visiteurs (par exemple : le contrôle des sacs et les équipes de sécurité), mais d’autres resteront invisibles. Nous ne souhaitons pas commenter ces mesures afin de ne pas compromettre leur efficacité."
13,"Si je modifie ma réservation, devrai-je payer davantage à cause de l'augmentation de la TVA ?","Si vous modifiez votre réservation, le nouveau tarif des éléments modifiés inclura le changement de TVA."
14,Où trouver un plan de Disneyland Paris et des Parcs Disney ?,"Explorez les Parcs Disney à l'aide de notre carte interactive en ligne de Disneyland Paris. Vous pouvez planifier votre aventure avant votre arrivée en explorant le Parc Disneyland et le Parc Walt Disney Studios. Localisez votre hôtel Disney idéal et découvrez les attractions, spectacles, parades et restaurants qui vous intéressent.  Et le jour venu, à l'entrée du Parc, obtenez une carte détaillée aux guichets des parcs Disney et au City Hall du Parc Disneyland."
15,Où puis-je me rendre si mon enfant se blesse ou a besoin de soins médicaux ?,"En cas d'urgence, veuillez contacter votre Cast Member (employé Disney) le plus proche.Les centres de Premiers Soins se trouvent :Dans le Parc Disneyland : à Main Street U.S.A. près de Central Plaza.Dans le Parc Walt Disney Studios : derrière les Studio Services.Vous pouvez trouver les centres de Premiers Soins grâce à notre carte interactive de Disneyland Paris.Découvrez nos forfaits hôtels, Parcs et transfert convenant aux familles de tous les âges.Découvrez plus de conseils malins sécurité pour votre famille sur le site dédié ""les aventuriers de la sécurité""."
16,Où puis-je voir les personnages Disney à Disneyland Paris ?,"Disneyland Paris abrite tous vos personnages Disney préférés, et de nombreuses attractions, spectacles et parades accueillent Mickey et ses amis.Vous trouverez les personnages Disney dans les deux Parcs aux lieux de rencontre dédiés et dans certains restaurants. Mais pour être sûr de vivre un moment magique, organisez un dîner que vos enfants n'oublieront jamais.En séjournant dans l’un des Hôtel Disney ou si vous êtes détenteur d’un Passeport Annuel Dream ou Fantasy (hors dates de restriction) ou d’un Pass Annuel Magic Plus ou Infinity, vous pourrez profiter de moments de magie supplémentaires dans nos Parcs Disney à thème tous les jours de votre séjour.  Les Moments de Magie en Plus sont l’occasion de rencontrer des Personnages Disney. Prenez la pose à leurs côtés et n'hésitez pas à leur demander des autographes, ils adorent rencontrer leurs amis du monde entier.* La durée des Moments de Magie en plus peut varier selon la date visite. Les Moments de Magie en plus peuvent avoir lieu soit dans le parc Disneyland soit au WDS selon votre date de visite. Consultez cette page pour plus d’informations."
17,Comment puis-je payer ma réservation pour Disneyland Paris ?,"Les paiements sur le site internet doivent être réalisés avec une carte de crédit ou une carte de débit internationale, incluant : la carte de paiement officielle de Disneyland Paris Mastercard ou Visa, Paypal, American Express, Carte bleue, JCB, UnionPay International.Les réservations effectuées plus de 30 jours avant la date d’arrivée peuvent également faire l’objet d’un règlement par chèque personnel émis par une banque française et établi à l’ordre d’Euro Disney Vacances ou par Chèques Vacances ou Chèques Cadeaux français (nous consulter pour connaître la liste des Chèques Cadeaux acceptés – pas de rendu de monnaie).Pour plus d’informations sur ces modes de paiement, contactez la centrale de réservation au  0 825 300 500 (Service 0,15 €/min + prix appel)."
18,Combien de temps faut-il prévoir pour visiter les deux Parcs Disney ?,"Nous recommandons de séjourner 3 jours complets. Deux jours pour le Parc Disneyland et ses cinq mondes magiques, une journée pour le Parc Walt Disney Studios et ses quatre zones pleines d'action. Mais pour profiter totalement de nos attractions, restaurants, spectacles et parades, performances en live au Disney Village et passer du temps au bord de la piscine de votre hôtel, pourquoi ne pas rester une semaine ?Recherchez des billets et réservez votre aventure Disney."
19,Comment puis-je payer le solde de ma réservation ?,"Pour payer votre solde, rendez-vous sur www.disneylandparis.com, dans la rubrique « Mon compte ». Si vous n’avez pas encore de compte, il est nécessaire d’en créer un.Rendez-vous dans l’onglet « Mes réservations » et renseignez le numéro de votre réservation ainsi que le nom d’un participant au séjour.Ces informations vous permettront d’accéder aux détails de votre réservation et procéder au paiement du solde."
20,Que faire si mon enfant se perd dans un Parc Disney ?,"Avisez-en immédiatement le Cast Member (employé Disney) le plus proche. Ils préviendront la sécurité et vous aideront à trouver votre enfant le plus rapidement possible.Il existe deux Rendez-vous Enfants Perdus :Dans le Parc Disneyland : entre le Plaza Gardens Restaurant et le poste de Premiers Soins.Dans le Parc Walt Disney Studios : à l'entrée, à côté des Studio Services.Découvrez plus de conseils malins sécurité pour votre famille sur le site dédié ""les aventuriers de la sécurité""."
21,Quelles sont les conditions générales du centre Accueil Animaux ?,"RÈGLEMENT INTÉRIEUR DU POINT ACCUEIL ANIMAUX BIENVENUE À DISNEYLAND PARISLE PRÉSENT RÈGLEMENT INTÉRIEUR DÉCRIT LES CONDITIONS GÉNÉRALES DE SERVICE APPLICABLES AU POINT ACCUEIL ANIMAUX :1. Animaux acceptés :1.1 L’Accueil Animaux est réservé aux chats et chiens des visiteurs de Disneyland Paris, à l’exception des chiens d’attaque (1ère catégorie) et des chiens de garde et de défense (2ème catégorie) définis selon l’article L211-12 du code rural français.Ces animaux sont accueillis pendant le séjour de leurs propriétaires à Disneyland Paris (Parc Disneyland, Parc Walt Disney Studios, Disney Village et Hôtels Disney), dans la limite des places disponibles.1.2 L’Accueil Animaux est réservé aux animaux identifiés par tatouage ou système d’identification électronique, dont toutes les vaccinations prescrites par les lois et règlements en vigueur sont à jour et peuvent être vérifiées comme telles.À défaut de présentation du passeport vétérinaire, carnet ou certificat de vaccinations de l’animal, le propriétaire atteste sur l’honneur et sous son entière responsabilité que les vaccinations nécessaires ont été réalisées.1.3 L’Accueil Animaux se réserve la possibilité de refuser l’accès aux animaux visiblement porteurs d’une maladie potentiellement contagieuse ou manifestant un comportement anormalement agressif.2. Nature de la prestation :2.1 La prestation de l’Accueil Animaux se limite à la mise à disposition d’une cage et à la fourniture d’eau. L’Accueil Animaux peut également procéder à la distribution ou fourniture de nourriture, en application des instructions données par le propriétaire de l’animal lors de son enregistrement.2.2 Une fiche d’enregistrement sera remplie par le propriétaire de l’animal, lequel devra y faire figurer toute observation pertinente pour le personnel de l’Accueil Animaux.Une copie de cette fiche sera remise au propriétaire, qui devra la présenter pour récupérer son animal.2.3 Il sera dû pour l’accueil de tout animal une redevance forfaitaire journalière, variant en fonction de la durée du séjour, payable :Par carte bancaire, au moment de l’enregistrement de l’animal au Point Accueil Animaux,En espèces à la Consigne ou à la Billetterie à l’entrée des Parcs à Thèmes, le reçu de paiement devra être alors présenté à la sortie de l’animal.2.4 Si un animal nécessite des soins urgents, l’Accueil Animaux notifiera son propriétaire. Si le propriétaire n’est pas joignable, l’Accueil Animaux est autorisé à mandater un vétérinaire, et à en répercuter les frais au propriétaire, nonobstant son absence d’accord préalable. 3. Obligations du propriétaire de l’animal :3.1 Promenade :Il appartient au propriétaire de promener son animal pendant la durée de son séjour à Disneyland Paris, le personnel de l’Accueil Animaux n’étant pas autorisé à assurer de promenade.Pour des raisons de sécurité, les animaux doivent obligatoirement être tenus en laisse sur l’ensemble du site de Disneyland Paris, à l’exception des cages et de l'aire de promenade situées dans l’enceinte du bâtiment de l’Accueil Animaux.Il est rappelé aux propriétaires qu’il est interdit de laisser son animal faire ses besoins dans les espaces verts du Parking Visiteurs à l’exception de l’aire de promenade.3.2 Accès aux cages :Une seule personne à la fois peut accéder aux cages.Il est interdit aux propriétaires de nourrir ou caresser les autres animaux accueillis par l’Accueil Animaux.3.3 Durée de l’accueil :Les propriétaires doivent respecter les horaires de l’Accueil Animaux.Ils s’engagent à récupérer leur animal au terme de leur séjour à Disneyland Paris.Tout animal non repris dans les vingt-quatre heures suivant la fin du séjour indiquée dans la fiche d’enregistrement sera considéré comme volontairement abandonné et remis aux autorités ou organismes compétents.Il est rappelé que, selon l’article 521-1 du code pénal français, l’abandon d’un animal domestique, ou apprivoisé, ou tenu en captivité, est puni de deux ans d'emprisonnement et de 30 000 euros d'amende.4. Responsabilités :4.1 La prestation n’implique aucun transfert de garde au sens de l’article 1385 du code civil français, de sorte que le propriétaire conserve tout pouvoir de contrôle, de direction et d’usage sur l’animal et demeure seul responsable de tout préjudice causé par celui-ci, en ce compris les préjudices matériels et immatériels causés à l’Accueil Animaux ou à ses préposés, aux autres utilisateurs de l’Accueil Animaux ou aux animaux accueillis ainsi qu’aux tiers.4.2 La société EURO DISNEY ASSOCIÉS SCA. et ses assureurs sont expressément déchargés de toute responsabilité quant aux maladies contractées ou dommages subis ou occasionnés à un animal lors de son séjour à l’Accueil Animaux et aux dommages causés par les animaux accueillis.5. Loi applicable :Le droit français s’applique de manière exclusive à toute convention soumise au présent règlement et à tout litige né à l’occasion du séjour d’un animal à l’Accueil Animaux.Pour tout renseignement complémentaire, merci de vous adresser directement à un employé de l’équipe Parking Visiteurs."
22,Quelles sont les coordonnées de Disneyland Paris ?,Consultez les coordonnées de Disneyland Paris.
23,Quelles sont les heures d'ouverture du Disney Village ?,Quelles sont les heures d'ouverture du Disney Village ?Disney Village est ouvert tous les jours à partir de 7h30. Vous pouvez profiter de la magie et faire la fête jusqu'à tard.Découvrez le programme du Disney Village.
24,Y a-t-il des choses à faire s'il pleut lors de mon séjour à Disneyland Paris ?,"Oui. Pas d'inquiétude, Disneyland Paris regorge d'attractions à l'abri de la pluie. Pour votre sécurité, l'accès à certaines attractions pourra être restreint sans avertissement préalable pour cause de conditions climatiques défavorables, comme en cas de fortes pluies ou de vents violents. Vous trouverez néanmoins de nombreuses boutiques, restaurants et spectacles couverts. Quel que soit le temps, votre séjour sera magique."
25,Les accompagnants d'un Pass Annuel Magic Plus ou Infinity peuvent-ils également profiter de l'accès dédié à l’entrée des parcs ?,Seuls les détenteurs d’un Pass Annuel Magic Plus et d’un Pass Annuel Infinity ainsi que les détenteurs d’un Billet Privilège pourront profiter de l’accès dédié à l’entrée des Parcs.
26,Avez-vous des accords spéciaux avec des sociétés de location de véhicules ?,"Oui. Disney a signé un partenariat avec Hertz afin de vous offrir un large choix de véhicules de location et de services exclusifs qui vous permettront de voyager en toute liberté.Découvrez nos forfaits hôtels, Parcs et transfert."
27,"Avec les Billets Privilèges, l’offre Billets Amis est-elle amenée à disparaître ?",Les Billets Privilèges sont disponibles en complément des offres ponctuelles Billets Amis.
28,Quels hôtels seront en cours de rénovation ou de remise en état au moment de ma visite ?,Consultez notre calendrier de remise en état actuel pour nos hôtels. Veuillez nous excuser si l'hôtel dans lequel vous souhaitez séjourner n'est pas disponible. Les rénovations permettent de garantir un fonctionnement répondant à nos exigences strictes pour chaque visiteur.
29,Quels types de cookies peuvent être utilisés sur le site Disneyland Paris ?,"Les cookies pouvant être utilisés sur notre site Web appartiennent aux quatre catégories décrites ci-dessous. Ces descriptions peuvent vous aider à décider du type d'interactions que vous souhaitez avoir avec notre site Web et d'autres services en ligne.Cookies strictement nécessairesCes cookies sont essentiels pour assurer votre capacité à naviguer sur ce site Web et à utiliser certaines fonctions. Sans ces cookies strictement nécessaires, les services en ligne que vous avez demandés, comme les paniers d'achat et l'affichage de votre facture au moment du passage de la commande, ne peuvent être fournis. Aucun consentement n'est requis pour les cookies strictement nécessaires, car ils sont requis pour que nous vous fournissions les services demandés.Cookies de performanceNous (ou les prestataires de service opérant pour notre compte) sommes susceptibles de placer des cookies de performance sur votre appareil. Les informations recueillies à l'aide de nos cookies de performance sont utilisées uniquement par nous ou pour notre compte. Nos cookies de performance recueillent des informations anonymes sur l'utilisation de ce site et de ses fonctions. Les informations recueillies peuvent être utilisées pour personnaliser votre expérience en ligne en vous montrant du contenu qui pourrait vous intéresser ou en limitant le nombre de fois que vous verrez la même publicité. Nos cookies de performance ne recueillent pas d'informations vous identifiant personnellement. Cependant, si vous avez un compte avec nous, les informations que nous avons recueillies par le biais de nos cookies de performance peuvent être associées à votre compte. Nous pouvons aussi autoriser les annonceurs tiers à placer leurs cookies de performance sur votre appareil via leurs publicités sur ce site Web. Les informations recueillies par ces cookies de performance tiers sont utilisées pour déterminer les publicités tierces à afficher sur ce site Web, la fréquence de leurs apparitions et les emplacements les plus efficaces sur ce site Web. Ces cookies de performance tiers ne recueillent pas d'informations vous identifiant personnellement. Nous vous avertissons et plaçons un lien vers notre politique relative aux cookies en bas de chaque page de ce site Web. En utilisant et en continuant d'utiliser ce site Web et ses fonctionnalités, vous donnez votre accord pour que nous (et les annonceurs tiers sur ce site Web) puissions placer des cookies de performance sur votre appareil.Cookies de fonctionnalitéNous (ou les prestataires de service opérant pour notre compte) pourrons placer des cookies de fonctionnalité sur votre appareil. Nous ne partageons pas les informations recueillies via nos cookies de fonctionnalité avec nos annonceurs ou avec des tiers. Nos cookies de fonctionnalité sont utilisés pour garder en mémoire les choix que vous effectuez (comme les préférences linguistiques, votre pays et d'autres paramètres Internet) et fournir les fonctionnalités personnalisées ou améliorées que vous sélectionnez. Nos cookies de fonctionnalité peuvent être utilisés pour vous fournir des services en ligne ou pour empêcher que des services en ligne vous soient proposés si vous avez précédemment indiqué que vous ne souhaitiez pas recevoir de telles offres. Nos cookies de fonctionnalité recueillent des informations anonymes. Cependant, si vous avez un compte avec nous, les informations que nous recueillons via nos cookies de fonctionnalité peuvent être associées à votre compte. Dans certains cas, nous pouvons autoriser un annonceur ou un tiers à vous fournir des contenus et autres expériences en ligne sur ce site Web ou des services en ligne. Dans ces cas-là, les tiers peuvent placer leurs cookies de fonctionnalité sur votre appareil et les utiliser de la même manière que nous utilisons les nôtres, afin de vous fournir des fonctionnalités personnalisées ou améliorées pour les contenus ou expériences tierces. En sélectionnant des options ou paramètres personnalisés ou des fonctionnalités améliorées, vous indiquez votre consentement à notre utilisation (et à l'utilisation par des tiers autorisés) des cookies de fonctionnalité afin de fournir ces expériences personnalisées. Si vous supprimez ces cookies de fonctionnalité, toutes préférences et tous paramètres sélectionnés ne seront pas gardés en mémoire lors de vos prochaines visites.Cookies de publicités ciblées tiercesDes cookies de publicités ciblées tierces peuvent être placés sur votre appareil par des annonceurs tiers, des réseaux d'annonceurs, des systèmes d'échange de données, des outils d'analyse marketing et d'autres prestataires de services. Les cookies de publicités ciblées tierces recueillent des informations sur votre activité de navigation sur plusieurs sites Web et services en ligne afin de vous fournir des publicités pertinentes sur nos sites Web et services en ligne et les sites Web et services en ligne de tiers. Les réseaux d'annonceurs peuvent partager ces données avec leurs annonceurs par l'intermédiaire de leur réseau. Les informations recueillies à l'aide de ces cookies de publicités tierces ne vous identifient pas personnellement."
30,Existe-t-il des visites guidées des Parcs Disney ?,"Oui. Des visites guidées sont organisées pour vous faire découvrir l'histoire et l'architecture du Parc Disneyland ou du Parc Walt Disney Studios. Vous pouvez également choisir de vous faire accompagner par un Guide VIP qui organisera votre journée selon vos envies : réservations de restaurants, places privilégiées pour les spectacles et parades... Grâce à lui, vous profiterez de la magie Disney en toute sérénité !Comment réserverJusqu’à 14 jours avant votre arrivée en contactant la Centrale de Réservation au 0 825 300 500 (Service 0,15 €/min + prix appel)Le jour J en vous dirigeant vers City Hall dans le Parc Disneyland"
31,Est-ce possible de modifier une réservation effectuée en ligne ?,Oui. Vous pouvez modifier rapidement et simplement des réservations effectuées en ligne en appelant notre bureau de réservation central. 
32,Comment changer mon pays de résidence ?,"En bas de l'écran, vous verrez un lien vous permettant de modifier votre pays. Cliquez dessus puis sélectionnez le bon pays de résidence. Cela vous dirigera vers la page d'accueil du pays correspondant et sauvegardera cette information pour vos visites ultérieures."
33,Où trouver des informations sur les limites de taille et d'âge pour les attractions de Disneyland Paris ?,"Disneyland Paris accueille les visiteurs de tous les âges et de toutes les tailles.  Si certaines attractions conviennent à tous, d'autres ne sont accessibles qu'à partir d'une certaine taille ou d'un certain âge. Vous pouvez consulter les restrictions en ligne ou consulter les symboles et informations présents devant chaque attraction à votre arrivée dans les Parcs.Découvrez plus de conseils malins sécurité pour votre famille sur le site dédié ""les aventuriers de la sécurité""."
34,Comment fêter un anniversaire à Disneyland Paris ?,"Disneyland Paris est le lieu idéal pour fêter un anniversaire. Avec tant d'attractions palpitantes, de boutiques et de restaurants, la fête sera inoubliable. Vous pouvez même organiser un gâteau dans la plupart des restaurants avec service à table ou buffets.De plus, vous pouvez inviter des Personnages Disney à participer à la fête à l'Auberge de Cendrillon, au Café Mickey et à Inventions. Découvrez nos forfaits hôtels, Parcs et transfert convenant aux familles de tous les âges."
35,Quels sont les horaires d'ouverture du Bureau Pass Annuel ?,"Le Bureau Pass Annuel et son équipe sont à votre disposition de 10h à 16h toute la semaine. (Horaires sujets à modification, consultez-nous)Toute son équipe est à votre disposition pour répondre à vos questions et vous renseigner."
36,Quels services sont disponibles pour les enfants et bébés dans les hôtels Disney ?,"Les enfants sont rois à Disneyland Paris ! Des chauffe-biberons aux services de babysitting, il existe toute une gamme de services pour leur offrir un séjour encore plus spécial et rendre le vôtre encore plus pratique.Trouvez votre forfait hôtel Disney de rêve et réservez votre séjour dès aujourd'hui !En savoir plus sur nos menus enfants et nos solutions pour les personnes ayant des besoins alimentaires particuliersDécouvrez plus de conseils malins sécurité pour votre famille sur le site dédié ""les aventuriers de la sécurité""."
37,Disney Village convient-il aux familles ?,"Oui. Il y a tout ce qu'il faut pour s'amuser en famille au Disney Village. Si les célibataires préféreront peut-être la vie nocturne, il existe de nombreuses options pour les familles. Vous y trouverez un cinéma 15 salles, des restaurants à thème comme le Annette's Diner et notre salle de jeux d'arcade Stadium. Il y a également une zone de shopping pleine de cadeaux et souvenirs pour tous les âges."
38,Quels sont les services proposés par le centre Accueil Animaux ?,"Le centre Accueil Animaux est un environnement accueillant et sécurisé pour votre animal de compagnie. Ils y trouveront de la nourriture et de l'eau. Cependant, nous ne sommes pas autorisés à promener votre animal.Les animaux guides sont les bienvenus sur la plupart des sites Disney. Les visiteurs accompagnés d'animaux guides doivent garder le contrôle de leur animal à tout moment et les tenir en laisse ou les équiper d'un harnais.Centre Accueil Animaux fermé du 16 septembre au 15 novembre 2019 inclus.Pour plus d'informations, reportez-vous au Règlement Intérieur du Point Accueil Animaux."
